Elasticity_wavelet_HLH_firstorder_Median,Elasticity_ResNet50_max_Feat640,Venous_log_sigma_3_0_mm_3D_glszm_SmallAreaLowGrayLevelEmphasis,Elasticity_ResNet50_max_Feat1649,Venous_ResNet50_max_Feat_1544,Elasticityperi_wavelet_HLH_ngtdm_Complexity,Venous_ResNet50_max_Feat_1348,Elasticity_log_sigma_2_0_mm_3D_glcm_ClusterShade,Venous_ResNet50_max_Feat_1622,Elasticity_ResNet50_max_Feat1407,Venous_ResNet50_max_Feat_1361,Venousperi_wavelet_HLL_gldm_DependenceEntropy,Elasticity_ResNet50_max_Feat1492,Venous_ResNet50_max_Feat_1465,Venous_ResNet50_max_Feat_1635
-0.2438757439810176,-0.11968085231738398,-0.3632953618783227,-0.49776515243644215,0.15075091044723196,-1.0305119782494794,-0.49355087198326936,-0.14738357131003357,-0.6937968296088798,1.1718290036448376,-0.4677232746080622,0.9705162583398518,-0.5566278721785346,-0.5879515541067293,0.625718734240099
-0.38443967084867176,-0.44630257188241634,1.4597028378966659,0.32386172408516156,0.3152725866170615,-1.3026909437481988,-0.12306600456946777,-0.20309432062365698,-1.0337042777555423,2.030785171706188,-0.3846728128187761,-0.8987553473686597,-0.17509244884727157,-0.7812787331215081,-0.07332048502891786
-0.05188606323556143,1.9018972326388612,-0.5902038954988745,-0.5813173270710909,0.5645165019231457,0.0646741706371743,-0.6003329543928503,-0.5809188787712122,2.5030074501932607,-0.46422976233713303,0.1103535997357391,0.5616811156257011,-0.4868031633124454,-0.7812787331215081,1.045043500160559
0.6994227598787442,0.5439832582068466,-0.3561263526106853,-1.0907856295088831,2.082182051958129,1.1020967548211293,-0.5535057706060161,-0.22176329930769093,0.45812250188144266,1.734965747924741,0.1295908935652485,-0.21393732447317496,-0.5566278721785346,2.972968217910107,1.4343893236042375
-0.2423052186649629,0.22559710795910284,0.2587405412484598,-0.8735448316884445,-0.3018013077813057,-0.9147389344635953,1.737199848645179,0.026856061769838895,-0.9645837152929888,-0.46422976233713303,-0.4100581506396829,0.22822748418240374,-0.5366531579395843,-0.6544729987204978,0.5418598659045585
0.3242286318727838,-0.4503823754838025,-0.5300847775176607,-1.0907856295088831,-0.9213305194093653,1.7213437038354873,-0.880766929427843,0.45158332168275406,-0.7765503653424165,-0.46422976233713303,-0.018999194674899682,0.04227465425575924,-0.5406112098014116,0.25029373041943215,2.155400629264431
0.05120675018636495,0.12872773274764113,-0.24523064666001743,-0.5882410748715072,-0.9447436118263246,0.6076880338270639,0.6481471377077043,-0.7648721930775656,0.9097960428556013,-0.46422976233713303,-0.2576806782165787,-0.7309178855800054,-0.5566278721785346,-0.6903378807625894,0.9618606031822771
0.16188336497430664,0.5467959252474182,-0.5999616146405544,0.7849710033569975,0.18203851959776063,-0.10622891943066703,-0.9749901107316535,0.7493487409082048,-0.1947984796877525,-0.3107368175300355,0.5483916010304406,0.12979151927960567,0.6512318572454489,-0.37016434842508467,0.5181506055399547
0.7032367653838638,-0.2747872500798072,-0.5883612795284658,0.582378801248268,-1.4653530668554167,0.9977072575168843,0.0213164471649977,-0.07668475597622364,-0.8785652061941923,-0.46422976233713303,-0.8815092787450283,0.9713225587524968,0.5675265800954499,-0.7812787331215081,0.876606091856259
0.5089492660825723,0.02901453840263937,-0.314371108448944,-1.0907856295088831,1.2046008600069757,1.6277024886987135,-1.1776613076910194,-0.28288206611809114,1.3102663260442917,0.27503439698476895,-0.8198003494973938,-0.9163442486719248,-0.5566278721785346,2.4800055553214033,3.1120351230774994
-0.6287164291029118,-0.4503823754838025,0.20738274271388554,-0.014729932606757912,1.1294706146039002,-1.0940167909770737,1.6160601069210663,0.05739007702841497,-0.7133135006050635,-0.46422976233713303,-0.9377526434288977,1.08206283799978,-0.5566278721785346,0.39650705471270986,-0.5867401420365372
-1.2455838833083335,-0.4503823754838025,-0.5801123646008609,-0.48157357428304426,0.589177909651709,-2.0668929586221405,-0.2825236199229721,-0.5547844098741445,-0.15805923597649565,0.6219733146067767,0.2637852269012055,-1.885025439200547,-0.46211476701378845,-0.7812787331215081,-0.8481671865198349
-0.39139631955236615,1.7852848574098283,-0.6235580580436972,-1.0907856295088831,1.3996342104698407,0.6981446274912513,-1.06373695551172,0.033232818273885356,-0.7559840926027289,0.23815316461449093,-0.54917156798728,0.33210528723020133,4.181293689964918,2.0944396086604273,1.6166350636398898
0.29701167148953767,0.0691154311750861,5.750409248622884,0.40725936261342854,-0.5837092615146886,-0.7677370817870997,1.3213529228296497,0.9035675698520761,1.7394216921498307,-0.46422976233713303,-0.6901425227031005,-0.9014014474535488,0.10984191203818275,-0.4389667706889574,0.161210447664974
-0.40925606028966566,-0.4503823754838025,-0.5398444104805524,1.737643853880128,-0.8896543238366083,-0.9250658493916439,-0.2943766847734528,-2.1136673367736836,-1.0337042777555423,0.20781861957373932,-0.22885666485481118,0.6120258560644799,-0.11725847376082998,-0.7812787331215081,-1.3531288286089638
-0.9318737447197453,-0.4503823754838025,-0.5702258199580614,-0.8126379078095546,-0.6151652722632719,0.3297971910004346,0.7270436979242514,1.364696870332147,0.8651732794245818,-0.46422976233713303,0.813086010270619,-0.4750407934647864,-0.5566278721785346,-0.2919995082818169,2.017935351526918
1.6023265168303957,-0.4503823754838025,0.30765107684435733,0.6433409785370076,-0.1994040104315832,-2.7339766911739347,3.5110745848479494,1.220430505537272,0.19421751116440306,-0.46422976233713303,-0.46325147456227017,-2.2747930631222935,-0.3756290037444361,-0.6147002572201338,0.8882023799871492
-0.22846568893482652,-0.4503823754838025,-0.12483210299888439,0.18382629285157628,-0.07066298718344288,0.6044875417261693,-0.14615465229977861,0.8502306720802338,-0.47930072947448615,-0.46422976233713303,1.930485653265547,-1.1170824942178599,-0.5388555880499662,-0.06304623842692979,0.20818044968153565
-0.23278396467610385,-0.33735758536735894,-0.5192101618995842,0.45830664999841564,-0.8038523124710287,0.5474859705875517,1.24337659743816,0.13852899867355914,-0.4652654806830057,-0.46422976233713303,2.2734085376035407,1.092462515467914,-0.45842432915578074,1.2696940859766739,-1.014658599911783
-0.06435343772481528,-0.4503823754838025,-0.5672819247210199,0.6894251221879368,-1.2713002020674258,0.7549791393305247,-0.0054268243784394606,1.0308462681773434,-1.0337042777555423,1.041764812415709,1.5370268202955404,-0.7232095137735675,0.030314791011263612,-0.7812787331215081,-1.3531288286089638
0.5945665294940865,-0.4503823754838025,-0.4463186586499379,0.9471090373960663,0.3048133653306151,-0.6050313612205201,0.47420118088843516,-0.8948043119107078,1.1023590687014273,-0.46422976233713303,3.133873039663069,0.1162257895874461,0.022476520526282892,-0.17103342454547135,0.24132434315713389
0.8747764279359677,-0.4503823754838025,-0.5149659384538571,0.16549231948022092,-0.04212434577028328,1.1061190401297278,-1.2371271403977455,0.03548290182632764,3.295054605268505,3.499614995362403,0.19364305971467385,-0.04008095050450786,-0.5566278721785346,1.1994840212718831,0.8732007139076536
